id,value
id_0,[20.025772]
id_1,[35.721687]
id_2,[29.257996]
id_3,[32.51649]
id_4,[12.332519]
id_5,[23.527977]
id_6,[40.362007]
id_7,[18.794703]
id_8,[38.07339]
id_9,[18.482643]
id_10,[31.626299]
id_11,[33.884872]
id_12,[32.013084]
id_13,[18.93009]
id_14,[28.045893]
id_15,[17.64117]
id_16,[37.209446]
id_17,[25.065512]
id_18,[14.390054]
id_19,[14.36352]
id_20,[16.560354]
id_21,[27.730295]
id_22,[38.012928]
id_23,[28.726395]
id_24,[44.6755]
id_25,[21.72261]
id_26,[25.482603]
id_27,[18.073719]
id_28,[31.914833]
id_29,[19.097616]
id_30,[16.107092]
id_31,[13.974979]
id_32,[22.363544]
id_33,[21.027737]
id_34,[22.866613]
id_35,[39.71956]
id_36,[30.064775]
id_37,[30.952621]
id_38,[21.014967]
id_39,[34.72619]
id_40,[29.42794]
id_41,[31.721933]
id_42,[33.499004]
id_43,[25.382595]
id_44,[26.983866]
id_45,[39.499447]
id_46,[34.753338]
id_47,[31.595835]
id_48,[23.731949]
id_49,[24.771374]
id_50,[27.117685]
id_51,[23.014977]
id_52,[31.107647]
id_53,[21.784864]
id_54,[35.735786]
id_55,[32.889454]
id_56,[27.470985]
id_57,[21.577753]
id_58,[32.03306]
id_59,[41.83711]
id_60,[17.224052]
id_61,[39.027172]
id_62,[34.10458]
id_63,[36.469143]
id_64,[32.199802]
id_65,[26.839739]
id_66,[40.027313]
id_67,[37.2537]
id_68,[27.673676]
id_69,[32.00887]
id_70,[39.032505]
id_71,[44.395504]
id_72,[36.463478]
id_73,[21.683851]
id_74,[23.753712]
id_75,[31.988073]
id_76,[39.885464]
id_77,[16.38108]
id_78,[39.1024]
id_79,[30.327108]
id_80,[18.59012]
id_81,[23.603218]
id_82,[16.379436]
id_83,[34.46433]
id_84,[22.169687]
id_85,[19.739527]
id_86,[21.169035]
id_87,[24.076874]
id_88,[25.557596]
id_89,[20.749594]
id_90,[27.240839]
id_91,[18.027994]
id_92,[27.319311]
id_93,[20.502066]
id_94,[29.686926]
id_95,[29.845669]
id_96,[24.433096]
id_97,[18.263702]
id_98,[18.153292]
id_99,[19.106821]
id_100,[19.687275]
id_101,[26.582127]
id_102,[25.007736]
id_103,[21.185509]
id_104,[18.113419]
id_105,[24.690294]
id_106,[26.899933]
id_107,[23.65177]
id_108,[25.161974]
id_109,[21.207832]
id_110,[19.448458]
id_111,[16.827635]
id_112,[23.820665]
id_113,[25.873716]
id_114,[21.295338]
id_115,[22.828318]
id_116,[21.812502]
id_117,[27.977602]
id_118,[36.01478]
id_119,[18.114775]
id_120,[14.183957]
id_121,[20.853827]
id_122,[18.524464]
id_123,[19.133228]
id_124,[23.570084]
id_125,[21.614412]
id_126,[28.442154]
id_127,[16.47325]
id_128,[17.3057]
id_129,[20.209814]
id_130,[13.403619]
id_131,[24.106321]
id_132,[26.942753]
id_133,[30.466417]
id_134,[26.317924]
id_135,[19.655241]
id_136,[18.783865]
id_137,[24.31381]
id_138,[32.43449]
id_139,[33.0621]
id_140,[27.545504]
id_141,[14.556716]
id_142,[19.339846]
id_143,[19.157915]
id_144,[21.004604]
id_145,[17.061201]
id_146,[23.066523]
id_147,[20.065601]
id_148,[27.754429]
id_149,[28.47458]
id_150,[26.513966]
id_151,[32.270855]
id_152,[23.610153]
id_153,[16.8664]
id_154,[29.38993]
id_155,[30.543453]
id_156,[21.927225]
id_157,[22.44558]
id_158,[19.352095]
id_159,[24.69435]
id_160,[38.685925]
id_161,[20.589905]
id_162,[34.241856]
id_163,[18.356342]
id_164,[22.165495]
id_165,[25.852192]
id_166,[27.52251]
id_167,[19.17506]
id_168,[47.548347]
id_169,[30.197023]
id_170,[20.196028]
id_171,[37.425327]
id_172,[23.14956]
id_173,[16.52002]
id_174,[38.015144]
id_175,[19.695839]
id_176,[19.382206]
id_177,[33.83385]
id_178,[26.67822]
id_179,[30.150555]
id_180,[25.154762]
id_181,[24.974482]
id_182,[35.60991]
id_183,[22.190195]
id_184,[11.869179]
id_185,[25.703718]
id_186,[29.555422]
id_187,[22.51943]
id_188,[19.868956]
id_189,[20.162724]
id_190,[16.631866]
id_191,[12.5760975]
id_192,[23.077961]
id_193,[45.122818]
id_194,[33.838093]
id_195,[23.42717]
id_196,[45.20815]
id_197,[13.358393]
id_198,[23.815119]
id_199,[34.69061]
id_200,[41.6279]
id_201,[26.82502]
id_202,[30.775286]
id_203,[17.910612]
id_204,[43.566082]
id_205,[23.244205]
id_206,[14.892589]
id_207,[24.036558]
id_208,[34.744347]
id_209,[24.7644]
id_210,[23.855156]
id_211,[45.153107]
id_212,[21.75049]
id_213,[52.783546]
id_214,[25.654238]
id_215,[53.925922]
id_216,[38.27129]
id_217,[39.7486]
id_218,[29.641409]
id_219,[30.123434]
id_220,[26.743711]
id_221,[50.38868]
id_222,[21.72898]
id_223,[27.755987]
id_224,[29.278896]
id_225,[14.701992]
id_226,[20.795017]
id_227,[32.79902]
id_228,[25.236904]
id_229,[12.997507]
id_230,[23.286018]
id_231,[19.835417]
id_232,[20.069345]
id_233,[18.998962]
id_234,[20.23138]
id_235,[26.316635]
id_236,[15.42052]
id_237,[14.096012]
id_238,[21.335907]
id_239,[16.541628]
